T(K)	uh(m^2/Vs)	duh(m^2/Vs)	nh(m^-3)	dnh(m^-3)	ue(m^2/Vs)	due(m^2/Vs)	ne(m^-3)	dne(m^-3)	sxx0(1/Om)	dsxx0(1/Om)	resxx	resxy	relresxx	relresxy
2.00	5.33149e+00	3.00271e-02	2.23079e+25	1.27884e+23	7.70336e+00	4.13414e-02	1.94338e+25	1.17672e+23	3.90429e+07	0.00000e+00	0.11506	0.04193	0.02818	0.01027
5.00	5.11022e+00	4.70091e-02	2.33516e+25	2.36419e+23	7.84679e+00	6.61673e-02	2.05002e+25	2.18952e+23	4.45576e+07	0.00000e+00	0.22040	0.03771	0.04924	0.00842
10.00	5.97657e+00	6.55114e-02	2.12826e+25	2.22799e+23	9.44593e+00	9.41460e-02	1.86152e+25	1.98626e+23	4.27755e+07	0.00000e+00	0.28226	0.09754	0.04710	0.01628
15.00	4.73790e+00	4.87335e-02	2.45950e+25	2.33925e+23	6.88252e+00	6.63852e-02	2.16760e+25	2.10421e+23	5.02973e+07	0.00000e+00	0.22602	0.10728	0.03442	0.01634
25.00	5.06170e+00	7.77482e-02	2.30075e+25	3.02788e+23	8.79504e+00	1.19158e-01	1.97297e+25	2.54080e+23	4.55353e+07	0.00000e+00	0.49116	0.17014	0.05174	0.01792
30.00	4.14499e+00	2.73304e-02	2.31853e+25	1.39217e+23	7.00850e+00	4.11143e-02	1.99040e+25	1.20647e+23	3.34426e+07	0.00000e+00	0.16360	0.08438	0.02847	0.01468
35.00	4.74971e+00	5.22605e-02	2.32915e+25	2.34914e+23	7.57487e+00	7.46353e-02	2.05115e+25	2.06442e+23	3.86234e+07	0.00000e+00	0.28219	0.11277	0.04120	0.01646
50.00	3.92866e+00	4.75163e-02	2.30196e+25	2.54641e+23	7.10213e+00	7.18531e-02	2.02995e+25	2.18629e+23	3.48610e+07	0.00000e+00	0.32692	0.12596	0.05235	0.02017
70.00	2.68340e+00	2.08909e-02	2.64009e+25	1.87248e+23	4.34981e+00	2.92842e-02	2.35915e+25	1.63313e+23	2.78165e+07	0.00000e+00	0.16522	0.08237	0.03750	0.01870
100.00	1.59890e+00	9.08463e-03	2.80182e+25	1.52205e+23	2.56922e+00	1.20162e-02	2.59721e+25	1.34406e+23	1.75725e+07	0.00000e+00	0.08128	0.06159	0.03346	0.02535
120.00	1.16390e+00	6.04226e-03	3.05028e+25	1.48467e+23	1.79256e+00	7.55246e-03	2.89038e+25	1.30507e+23	1.40497e+07	0.00000e+00	0.05985	0.05219	0.03235	0.02821
150.00	7.70182e-01	4.25220e-03	3.22244e+25	1.61550e+23	1.18453e+00	4.91102e-03	3.20115e+25	1.38402e+23	1.03448e+07	0.00000e+00	0.04758	0.05107	0.03443	0.03696
180.00	5.46446e-01	3.29994e-03	3.48318e+25	1.81113e+23	8.12936e-01	3.44698e-03	3.63039e+25	1.49463e+23	7.93537e+06	0.00000e+00	0.04156	0.04794	0.03789	0.04371
200.00	4.48824e-01	2.96844e-03	3.62721e+25	2.00907e+23	6.72680e-01	2.90337e-03	3.91484e+25	1.59051e+23	6.97411e+06	0.00000e+00	0.04164	0.04932	0.04093	0.04848
230.00	3.47855e-01	2.56759e-03	3.89489e+25	2.33303e+23	5.11235e-01	2.25500e-03	4.40427e+25	1.73613e+23	5.91693e+06	0.00000e+00	0.04090	0.04646	0.04644	0.05275
260.00	2.79069e-01	2.33168e-03	4.11349e+25	2.74997e+23	4.08784e-01	1.84000e-03	4.84330e+25	1.88349e+23	5.13424e+06	0.00000e+00	0.04204	0.04337	0.05396	0.05566
300.00	2.14389e-01	1.96614e-03	4.48097e+25	3.29778e+23	3.11019e-01	1.36370e-03	5.40248e+25	1.96822e+23	4.32150e+06	0.00000e+00	0.03899	0.03533	0.06083	0.05512
